	date	Experiment	MBases	MBytes	organism	Run	SRA	Accession	sample_alias	tax_id	scientific_name	sample_title	sample_description	location number	sample_type	sample_id	sample_position
0	2017-06-30	ERX2079340	11	5	human metagenome	ERR2020093	ERS1803201	SAMEA104144183	103	646099	human metagenome	ne_40_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	40	ne	40_0	left_ant
1	2017-07-09	ERX2079341	29	13	human metagenome	ERR2020094	ERS1803202	SAMEA104144184	105	646099	human metagenome	ne_40_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	40	ne	40_0	left_post
2	2017-06-30	ERX2079342	10	5	human metagenome	ERR2020095	ERS1803203	SAMEA104144185	107	646099	human metagenome	ne_41_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	41	ne	41_0	left_ant
3	2017-07-09	ERX2079343	14	6	human metagenome	ERR2020096	ERS1803204	SAMEA104144186	109	646099	human metagenome	ne_41_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	41	ne	41_0	left_post
4	2017-07-03	ERX2079344	16	7	pig metagenome	ERR2020097	ERS1803205	SAMEA104144187	11	1176744	pig metagenome	pig_1_2__	nasal swab from pig	1	pig	1_2	NA
5	2017-07-03	ERX2079345	7	3	pig metagenome	ERR2020098	ERS1803206	SAMEA104144188	112	1176744	pig metagenome	pig_10_1__	nasal swab from pig	10	pig	10_1	NA
6	2017-06-30	ERX2079346	16	7	pig metagenome	ERR2020099	ERS1803207	SAMEA104144189	113	1176744	pig metagenome	pig_10_2__	nasal swab from pig	10	pig	10_2	NA
7	2017-07-03	ERX2079347	6	3	air metagenome	ERR2020100	ERS1803208	SAMEA104144190	114	655179	air metagenome	air sample from pig farm_10_0__	air sample from pig farm	10	air	10_air	NA
8	2017-06-30	ERX2079348	9	4	human metagenome	ERR2020101	ERS1803209	SAMEA104144191	115	646099	human metagenome	pigf_10_0_left_ant	nasal swab from pig farmer left nare anterior	10	pigf	10_0	left_ant
9	2017-06-30	ERX2079349	5	2	human metagenome	ERR2020102	ERS1803210	SAMEA104144192	117	646099	human metagenome	pigf_10_0_left_post	nasal swab from pig farmer left nare posterior	10	pigf	10_0	left_post
10	2017-06-30	ERX2079350	13	6	pig metagenome	ERR2020103	ERS1803211	SAMEA104144193	12	1176744	pig metagenome	pig_1_3__	nasal swab from pig	1	pig	1_3	NA
11	2017-06-30	ERX2079351	8	3	pig metagenome	ERR2020104	ERS1803212	SAMEA104144194	120	1176744	pig metagenome	pig_11_1__	nasal swab from pig	11	pig	11_1	NA
12	2017-06-30	ERX2079352	4	2	pig metagenome	ERR2020105	ERS1803213	SAMEA104144195	121	1176744	pig metagenome	pig_11_2__	nasal swab from pig	11	pig	11_2	NA
13	2017-06-30	ERX2079353	11	5	air metagenome	ERR2020106	ERS1803214	SAMEA104144196	122	655179	air metagenome	air sample from pig farm_11_0__	air sample from pig farm	11	air	11_air	NA
14	2017-06-30	ERX2079354	17	8	human metagenome	ERR2020107	ERS1803215	SAMEA104144197	123	646099	human metagenome	pigf_11_0_left_ant	nasal swab from pig farmer left nare anterior	11	pigf	11_0	left_ant
15	2017-06-30	ERX2079355	16	7	human metagenome	ERR2020108	ERS1803216	SAMEA104144198	125	646099	human metagenome	pigf_11_0_left_post	nasal swab from pig farmer left nare posterior	11	pigf	11_0	left_post
16	2017-06-30	ERX2079356	15	7	human metagenome	ERR2020109	ERS1803217	SAMEA104144199	127	646099	human metagenome	ne_42_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	42	ne	42_0	left_ant
17	2017-06-30	ERX2079357	6	3	human metagenome	ERR2020110	ERS1803218	SAMEA104144200	129	646099	human metagenome	ne_42_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	42	ne	42_0	left_post
18	2017-06-30	ERX2079358	14	6	air metagenome	ERR2020111	ERS1803219	SAMEA104144201	13	655179	air metagenome	air sample from pig farm_1_0__	air sample from pig farm	1	air	1_air	NA
19	2017-06-30	ERX2079359	24	11	human metagenome	ERR2020112	ERS1803220	SAMEA104144202	131	646099	human metagenome	ne_43_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	43	ne	43_0	left_ant
20	2017-06-30	ERX2079362	7	3	human metagenome	ERR2020115	ERS1803223	SAMEA104144205	137	646099	human metagenome	ne_44_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	44	ne	44_0	left_post
21	2017-06-30	ERX2079386	33	15	pig metagenome	ERR2020139	ERS1803247	SAMEA104144229	226	1176744	pig metagenome	pig_13_1__	nasal swab from pig	13	pig	13_1	NA
22	2017-07-09	ERX2079387	47	22	pig metagenome	ERR2020140	ERS1803248	SAMEA104144230	227	1176744	pig metagenome	pig_13_2__	nasal swab from pig	13	pig	13_2	NA
23	2017-06-30	ERX2079388	32	15	air metagenome	ERR2020141	ERS1803249	SAMEA104144231	228	655179	air metagenome	air sample from pig farm_13_0__	air sample from pig farm	13	air	13_air	NA
24	2017-06-30	ERX2079416	38	18	human metagenome	ERR2020169	ERS1803277	SAMEA104144259	315	646099	human metagenome	ne_53_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	53	ne	53_0	left_post
25	2017-06-30	ERX2079452	34	16	pig metagenome	ERR2020205	ERS1803313	SAMEA104144295	50	1176744	pig metagenome	pig_5_1__	nasal swab from pig	5	pig	5_1	NA
26	2017-06-30	ERX2079363	18	8	human metagenome	ERR2020116	ERS1803224	SAMEA104144206	143	646099	human metagenome	ne_45_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	45	ne	45_0	left_ant
27	2017-06-30	ERX2079364	16	7	human metagenome	ERR2020117	ERS1803225	SAMEA104144207	145	646099	human metagenome	ne_45_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	45	ne	45_0	left_post
28	2017-06-30	ERX2079365	13	6	human metagenome	ERR2020118	ERS1803226	SAMEA104144208	148	646099	human metagenome	ne_46_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	46	ne	46_0	left_ant
29	2017-06-30	ERX2079366	13	5	human metagenome	ERR2020119	ERS1803227	SAMEA104144209	150	646099	human metagenome	ne_46_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	46	ne	46_0	left_post
30	2017-06-30	ERX2079367	19	9	human metagenome	ERR2020120	ERS1803228	SAMEA104144210	152	646099	human metagenome	ne_47_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	47	ne	47_0	left_ant
31	2017-06-30	ERX2079368	15	7	human metagenome	ERR2020121	ERS1803229	SAMEA104144211	154	646099	human metagenome	ne_47_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	47	ne	47_0	left_post
32	2017-06-30	ERX2079369	16	7	human metagenome	ERR2020122	ERS1803230	SAMEA104144212	157	646099	human metagenome	ne_48_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	48	ne	48_0	left_ant
33	2017-06-30	ERX2079370	6	3	human metagenome	ERR2020123	ERS1803231	SAMEA104144213	158	646099	human metagenome	ne_48_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	48	ne	48_0	left_post
34	2017-06-30	ERX2079371	24	11	human metagenome	ERR2020124	ERS1803232	SAMEA104144214	193	646099	human metagenome	cowf_30_1_left_ant	nasal swab from cow farmer left nare anterior	30	cowf	30_1	left_ant
35	2017-06-30	ERX2079372	30	14	human metagenome	ERR2020125	ERS1803233	SAMEA104144215	195	646099	human metagenome	cowf_30_1_left_post	nasal swab from cow farmer left nare posterior	30	cowf	30_1	left_post
36	2017-06-30	ERX2079373	14	6	human metagenome	ERR2020126	ERS1803234	SAMEA104144216	197	646099	human metagenome	cowf_30_2_left_ant	nasal swab from cow farmer left nare anterior	30	cowf	30_2	left_ant
37	2017-06-30	ERX2079374	15	7	human metagenome	ERR2020127	ERS1803235	SAMEA104144217	199	646099	human metagenome	cowf_30_2_left_post	nasal swab from cow farmer left nare posterior	30	cowf	30_2	left_post
38	2017-07-09	ERX2079375	18	8	human metagenome	ERR2020128	ERS1803236	SAMEA104144218	2	646099	human metagenome	pigf_1_1_left_ant	nasal swab from pig farmer left nare anterior	1	pigf	1_1	left_ant
39	2017-07-09	ERX2079376	10	4	human metagenome	ERR2020129	ERS1803237	SAMEA104144219	201	646099	human metagenome	cowf_30_3_left_ant	nasal swab from cow farmer left nare anterior	30	cowf	30_3	left_ant
40	2017-06-30	ERX2079377	6	3	human metagenome	ERR2020130	ERS1803238	SAMEA104144220	203	646099	human metagenome	cowf_30_3_left_post	nasal swab from cow farmer left nare posterior	30	cowf	30_3	left_post
41	2017-06-30	ERX2079378	12	5	human metagenome	ERR2020131	ERS1803239	SAMEA104144221	205	646099	human metagenome	cowf_30_4_left_ant	nasal swab from cow farmer left nare anterior	30	cowf	30_4	left_ant
42	2017-06-30	ERX2079379	12	6	human metagenome	ERR2020132	ERS1803240	SAMEA104144222	207	646099	human metagenome	cowf_30_4_left_post	nasal swab from cow farmer left nare posterior	30	cowf	30_4	left_post
43	2017-06-30	ERX2079380	14	6	pig metagenome	ERR2020133	ERS1803241	SAMEA104144223	210	1176744	pig metagenome	pig_12_1__	nasal swab from pig	12	pig	12_1	NA
44	2017-06-30	ERX2079381	15	7	pig metagenome	ERR2020134	ERS1803242	SAMEA104144224	211	1176744	pig metagenome	pig_12_2__	nasal swab from pig	12	pig	12_2	NA
45	2017-06-30	ERX2079382	22	10	human metagenome	ERR2020135	ERS1803243	SAMEA104144225	217	646099	human metagenome	pigf_12_2_left_ant	nasal swab from pig farmer left nare anterior	12	pigf	12_2	left_ant
46	2017-06-30	ERX2079383	20	9	human metagenome	ERR2020136	ERS1803244	SAMEA104144226	219	646099	human metagenome	pigf_12_2_left_post	nasal swab from pig farmer left nare posterior	12	pigf	12_2	left_post
47	2017-06-30	ERX2079384	16	7	human metagenome	ERR2020137	ERS1803245	SAMEA104144227	221	646099	human metagenome	pigf_12_3_left_ant	nasal swab from pig farmer left nare anterior	12	pigf	12_3	left_ant
48	2017-07-09	ERX2079385	30	14	human metagenome	ERR2020138	ERS1803246	SAMEA104144228	223	646099	human metagenome	pigf_12_3_left_post	nasal swab from pig farmer left nare posterior	12	pigf	12_3	left_post
49	2017-07-09	ERX2079389	11	5	human metagenome	ERR2020142	ERS1803250	SAMEA104144232	233	646099	human metagenome	pigf_13_2_left_ant	nasal swab from pig farmer left nare anterior	13	pigf	13_2	left_ant
50	2017-06-30	ERX2079390	0	0	human metagenome	ERR2020143	ERS1803251	SAMEA104144233	235	646099	human metagenome	pigf_13_2_left_post	nasal swab from pig farmer left nare posterior	13	pigf	13_2	left_post
51	2017-06-30	ERX2079391	5	2	human metagenome	ERR2020144	ERS1803252	SAMEA104144234	238	646099	human metagenome	pigf_13_3_left_ant	nasal swab from pig farmer left nare anterior	13	pigf	13_3	left_ant
52	2017-07-09	ERX2079392	14	6	human metagenome	ERR2020145	ERS1803253	SAMEA104144235	240	646099	human metagenome	pigf_13_3_left_post	nasal swab from pig farmer left nare posterior	13	pigf	13_3	left_post
53	2017-07-09	ERX2079393	15	7	human metagenome	ERR2020146	ERS1803254	SAMEA104144236	242	646099	human metagenome	pigf_13_4_left_ant	nasal swab from pig farmer left nare anterior	13	pigf	13_4	left_ant
54	2017-06-30	ERX2079361	27	13	human metagenome	ERR2020114	ERS1803222	SAMEA104144204	135	646099	human metagenome	ne_44_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	44	ne	44_0	left_ant
55	2017-06-30	ERX2079360	16	7	human metagenome	ERR2020113	ERS1803221	SAMEA104144203	133	646099	human metagenome	ne_43_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	43	ne	43_0	left_post
56	2017-07-09	ERX2079339	14	6	pig metagenome	ERR2020092	ERS1803200	SAMEA104144182	10	1176744	pig metagenome	pig_1_1__	nasal swab from pig	1	pig	1_1	NA
57	2017-07-09	ERX2079394	10	4	human metagenome	ERR2020147	ERS1803255	SAMEA104144237	244	646099	human metagenome	pigf_13_4_left_post	nasal swab from pig farmer left nare posterior	13	pigf	13_4	left_post
58	2017-07-09	ERX2079395	14	6	human metagenome	ERR2020148	ERS1803256	SAMEA104144238	246	646099	human metagenome	pigf_13_5_left_ant	nasal swab from pig farmer left nare anterior	13	pigf	13_5	left_ant
59	2017-07-03	ERX2079396	7	3	human metagenome	ERR2020149	ERS1803257	SAMEA104144239	248	646099	human metagenome	pigf_13_5_left_post	nasal swab from pig farmer left nare posterior	13	pigf	13_5	left_post
60	2017-07-09	ERX2079397	5	2	human metagenome	ERR2020150	ERS1803258	SAMEA104144240	264	646099	human metagenome	cowf_31_2_left_ant	nasal swab from cow farmer left nare anterior	31	cowf	31_2	left_ant
61	2017-07-03	ERX2079398	7	3	human metagenome	ERR2020151	ERS1803259	SAMEA104144241	266	646099	human metagenome	cowf_31_2_left_post	nasal swab from cow farmer left nare posterior	31	cowf	31_2	left_post
62	2017-07-03	ERX2079399	14	6	human metagenome	ERR2020152	ERS1803260	SAMEA104144242	268	646099	human metagenome	cowf_31_3_left_ant	nasal swab from cow farmer left nare anterior	31	cowf	31_3	left_ant
63	2017-07-03	ERX2079400	19	9	human metagenome	ERR2020153	ERS1803261	SAMEA104144243	270	646099	human metagenome	cowf_31_3_left_post	nasal swab from cow farmer left nare posterior	31	cowf	31_3	left_post
64	2017-07-21	ERX2079401	19	9	human metagenome	ERR2020154	ERS1803262	SAMEA104144244	276	646099	human metagenome	cowf_31_5_left_ant	nasal swab from cow farmer left nare anterior	31	cowf	31_5	left_ant
65	2017-06-30	ERX2079402	15	7	human metagenome	ERR2020155	ERS1803263	SAMEA104144245	278	646099	human metagenome	cowf_31_5_left_post	nasal swab from cow farmer left nare posterior	31	cowf	31_5	left_post
66	2017-06-30	ERX2079403	9	4	human metagenome	ERR2020156	ERS1803264	SAMEA104144246	280	646099	human metagenome	cowf_31_6_left_ant	nasal swab from cow farmer left nare anterior	31	cowf	31_6	left_ant
67	2017-07-21	ERX2079404	17	7	human metagenome	ERR2020157	ERS1803265	SAMEA104144247	282	646099	human metagenome	cowf_31_6_left_post	nasal swab from cow farmer left nare posterior	31	cowf	31_6	left_post
68	2017-06-30	ERX2079405	4	2	human metagenome	ERR2020158	ERS1803266	SAMEA104144248	284	646099	human metagenome	cowf_31_7_left_ant	nasal swab from cow farmer left nare anterior	31	cowf	31_7	left_ant
69	2017-06-30	ERX2079406	6	2	human metagenome	ERR2020159	ERS1803267	SAMEA104144249	286	646099	human metagenome	cowf_31_7_left_post	nasal swab from cow farmer left nare posterior	31	cowf	31_7	left_post
70	2017-06-30	ERX2079407	8	4	human metagenome	ERR2020160	ERS1803268	SAMEA104144250	297	646099	human metagenome	ne_50_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	50	ne	50_0	left_ant
71	2017-06-30	ERX2079408	6	2	human metagenome	ERR2020161	ERS1803269	SAMEA104144251	299	646099	human metagenome	ne_50_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	50	ne	50_0	left_post
72	2017-06-30	ERX2079409	14	6	pig metagenome	ERR2020162	ERS1803270	SAMEA104144252	30	1176744	pig metagenome	pig_3_1__	nasal swab from pig	3	pig	3_1	NA
73	2017-06-30	ERX2079410	3	1	human metagenome	ERR2020163	ERS1803271	SAMEA104144253	301	646099	human metagenome	ne_51_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	51	ne	51_0	left_ant
74	2017-06-30	ERX2079411	4	2	human metagenome	ERR2020164	ERS1803272	SAMEA104144254	304	646099	human metagenome	ne_51_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	51	ne	51_0	left_post
75	2017-07-21	ERX2079412	8	4	human metagenome	ERR2020165	ERS1803273	SAMEA104144255	309	646099	human metagenome	ne_52_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	52	ne	52_0	left_ant
76	2017-07-21	ERX2079413	17	7	pig metagenome	ERR2020166	ERS1803274	SAMEA104144256	31	1176744	pig metagenome	pig_3_2__	nasal swab from pig	3	pig	3_2	NA
77	2017-07-21	ERX2079414	15	6	human metagenome	ERR2020167	ERS1803275	SAMEA104144257	312	646099	human metagenome	ne_52_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	52	ne	52_0	left_post
78	2017-06-30	ERX2079415	21	9	human metagenome	ERR2020168	ERS1803276	SAMEA104144258	313	646099	human metagenome	ne_53_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	53	ne	53_0	left_ant
79	2017-06-30	ERX2079417	10	5	air metagenome	ERR2020170	ERS1803278	SAMEA104144260	32	655179	air metagenome	air sample from pig farm_3_0__	air sample from pig farm	3	air	3_air	NA
80	2017-07-03	ERX2079418	15	7	human metagenome	ERR2020171	ERS1803279	SAMEA104144261	33	646099	human metagenome	pigf_3_1_left_ant	nasal swab from pig farmer left nare anterior	3	pigf	3_1	left_ant
81	2017-06-30	ERX2079419	11	5	human metagenome	ERR2020172	ERS1803280	SAMEA104144262	35	646099	human metagenome	pigf_3_1_left_post	nasal swab from pig farmer left nare posterior	3	pigf	3_1	left_post
82	2017-06-30	ERX2079420	7	3	human metagenome	ERR2020173	ERS1803281	SAMEA104144263	37	646099	human metagenome	pigf_3_2_left_ant	nasal swab from pig farmer left nare anterior	3	pigf	3_2	left_ant
83	2017-06-30	ERX2079421	17	8	pig metagenome	ERR2020174	ERS1803282	SAMEA104144264	382	1176744	pig metagenome	pig_17_1__	nasal swab from pig	17	pig	17_1	NA
84	2017-06-30	ERX2079422	15	7	pig metagenome	ERR2020175	ERS1803283	SAMEA104144265	383	1176744	pig metagenome	pig_17_2__	nasal swab from pig	17	pig	17_2	NA
85	2017-06-30	ERX2079423	14	6	air metagenome	ERR2020176	ERS1803284	SAMEA104144266	384	655179	air metagenome	air sample from pig farm_17_0__	air sample from pig farm	17	air	17_air	NA
86	2017-06-30	ERX2079424	12	6	human metagenome	ERR2020177	ERS1803285	SAMEA104144267	385	646099	human metagenome	pigf_17_1_left_ant	nasal swab from pig farmer left nare anterior	17	pigf	17_1	left_ant
87	2017-07-03	ERX2079425	16	8	human metagenome	ERR2020178	ERS1803286	SAMEA104144268	387	646099	human metagenome	pigf_17_1_left_post	nasal swab from pig farmer left nare posterior	17	pigf	17_1	left_post
88	2017-07-09	ERX2079426	10	5	human metagenome	ERR2020179	ERS1803287	SAMEA104144269	389	646099	human metagenome	pigf_17_2_left_ant	nasal swab from pig farmer left nare anterior	17	pigf	17_2	left_ant
89	2017-07-03	ERX2079427	14	6	human metagenome	ERR2020180	ERS1803288	SAMEA104144270	39	646099	human metagenome	pigf_3_2_left_post	nasal swab from pig farmer left nare posterior	3	pigf	3_2	left_post
90	2017-07-03	ERX2079428	14	6	human metagenome	ERR2020181	ERS1803289	SAMEA104144271	391	646099	human metagenome	pigf_17_2_left_post	nasal swab from pig farmer left nare posterior	17	pigf	17_2	left_post
91	2017-06-30	ERX2079429	16	7	human metagenome	ERR2020182	ERS1803290	SAMEA104144272	4	646099	human metagenome	pigf_1_1_left_post	nasal swab from pig farmer left nare posterior	1	pigf	1_1	left_post
92	2017-06-30	ERX2079430	22	10	pig metagenome	ERR2020183	ERS1803291	SAMEA104144273	418	1176744	pig metagenome	pig_19_1__	nasal swab from pig	19	pig	19_1	NA
93	2017-06-30	ERX2079431	9	4	pig metagenome	ERR2020184	ERS1803292	SAMEA104144274	419	1176744	pig metagenome	pig_19_2__	nasal swab from pig	19	pig	19_2	NA
94	2017-06-30	ERX2079432	17	8	pig metagenome	ERR2020185	ERS1803293	SAMEA104144275	42	1176744	pig metagenome	pig_4_1__	nasal swab from pig	4	pig	4_1	NA
95	2017-06-30	ERX2079433	24	11	human metagenome	ERR2020186	ERS1803294	SAMEA104144276	421	646099	human metagenome	pigf_19_1_left_ant	nasal swab from pig farmer left nare anterior	19	pigf	19_1	left_ant
96	2017-06-30	ERX2079434	8	4	human metagenome	ERR2020187	ERS1803295	SAMEA104144277	423	646099	human metagenome	pigf_19_1_left_post	nasal swab from pig farmer left nare posterior	19	pigf	19_1	left_post
97	2017-06-30	ERX2079435	16	7	human metagenome	ERR2020188	ERS1803296	SAMEA104144278	425	646099	human metagenome	pigf_19_2_left_ant	nasal swab from pig farmer left nare anterior	19	pigf	19_2	left_ant
98	2017-06-30	ERX2079436	6	3	human metagenome	ERR2020189	ERS1803297	SAMEA104144279	427	646099	human metagenome	pigf_19_2_left_post	nasal swab from pig farmer left nare posterior	19	pigf	19_2	left_post
99	2017-06-30	ERX2079437	10	4	human metagenome	ERR2020190	ERS1803298	SAMEA104144280	429	646099	human metagenome	cowf_32_0_left_ant	nasal swab from cow farmer left nare anterior	32	cowf	32_0	left_ant
100	2017-06-30	ERX2079438	24	11	pig metagenome	ERR2020191	ERS1803299	SAMEA104144281	43	1176744	pig metagenome	pig_4_2__	nasal swab from pig	4	pig	4_2	NA
101	2017-06-30	ERX2079439	5	2	human metagenome	ERR2020192	ERS1803300	SAMEA104144282	431	646099	human metagenome	cowf_32_0_left_post	nasal swab from cow farmer left nare posterior	32	cowf	32_0	left_post
102	2017-06-30	ERX2079440	16	7	air metagenome	ERR2020193	ERS1803301	SAMEA104144283	44	655179	air metagenome	air sample from pig farm_4_0__	air sample from pig farm	4	air	4_air	NA
103	2017-06-30	ERX2079441	23	11	human metagenome	ERR2020194	ERS1803302	SAMEA104144284	45	646099	human metagenome	pigf_4_0_left_ant	nasal swab from pig farmer left nare anterior	4	pigf	4_0	left_ant
104	2017-06-30	ERX2079442	23	11	human metagenome	ERR2020195	ERS1803303	SAMEA104144285	47	646099	human metagenome	pigf_4_0_left_post	nasal swab from pig farmer left nare posterior	4	pigf	4_0	left_post
105	2017-06-30	ERX2079443	9	4	human metagenome	ERR2020196	ERS1803304	SAMEA104144286	484	646099	human metagenome	cowf_33_1_left_ant	nasal swab from cow farmer left nare anterior	33	cowf	33_1	left_ant
106	2017-06-30	ERX2079444	7	3	human metagenome	ERR2020197	ERS1803305	SAMEA104144287	487	646099	human metagenome	cowf_33_1_left_post	nasal swab from cow farmer left nare posterior	33	cowf	33_1	left_post
107	2017-06-30	ERX2079445	13	6	human metagenome	ERR2020198	ERS1803306	SAMEA104144288	488	646099	human metagenome	cowf_33_2_left_ant	nasal swab from cow farmer left nare anterior	33	cowf	33_2	left_ant
108	2017-06-30	ERX2079446	7	3	human metagenome	ERR2020199	ERS1803307	SAMEA104144289	490	646099	human metagenome	cowf_33_2_left_post	nasal swab from cow farmer left nare posterior	33	cowf	33_2	left_post
109	2017-06-30	ERX2079447	8	3	pig metagenome	ERR2020200	ERS1803308	SAMEA104144290	493	1176744	pig metagenome	pig_22_1__	nasal swab from pig	22	pig	22_1	NA
110	2017-06-30	ERX2079448	20	9	pig metagenome	ERR2020201	ERS1803309	SAMEA104144291	494	1176744	pig metagenome	pig_22_2__	nasal swab from pig	22	pig	22_2	NA
111	2017-06-30	ERX2079449	17	8	air metagenome	ERR2020202	ERS1803310	SAMEA104144292	495	655179	air metagenome	air sample from pig farm_22_0__	air sample from pig farm	22	air	22_air	NA
112	2017-06-30	ERX2079450	18	8	human metagenome	ERR2020203	ERS1803311	SAMEA104144293	496	646099	human metagenome	pigf_22_1_left_ant	nasal swab from pig farmer left nare anterior	22	pigf	22_1	left_ant
113	2017-06-30	ERX2079451	27	12	human metagenome	ERR2020204	ERS1803312	SAMEA104144294	498	646099	human metagenome	pigf_22_1_left_post	nasal swab from pig farmer left nare posterior	22	pigf	22_1	left_post
114	2017-06-30	ERX2079453	11	5	human metagenome	ERR2020206	ERS1803314	SAMEA104144296	500	646099	human metagenome	pigf_22_2_left_ant	nasal swab from pig farmer left nare anterior	22	pigf	22_2	left_ant
115	2017-06-30	ERX2079454	8	4	human metagenome	ERR2020207	ERS1803315	SAMEA104144297	502	646099	human metagenome	pigf_22_2_left_post	nasal swab from pig farmer left nare posterior	22	pigf	22_2	left_post
116	2017-06-30	ERX2079455	12	5	human metagenome	ERR2020208	ERS1803316	SAMEA104144298	509	646099	human metagenome	cowf_34_2_left_ant	nasal swab from cow farmer left nare anterior	34	cowf	34_2	left_ant
117	2017-06-30	ERX2079456	20	9	pig metagenome	ERR2020209	ERS1803317	SAMEA104144299	51	1176744	pig metagenome	pig_5_2__	nasal swab from pig	5	pig	5_2	NA
118	2017-06-30	ERX2079457	14	6	human metagenome	ERR2020210	ERS1803318	SAMEA104144300	511	646099	human metagenome	cowf_34_2_left_post	nasal swab from cow farmer left nare posterior	34	cowf	34_2	left_post
119	2017-06-30	ERX2079458	12	5	human metagenome	ERR2020211	ERS1803319	SAMEA104144301	518	646099	human metagenome	ne_65_0_left_ant	nasal swab from individual without contact to farm animals left nare anterior	65	ne	65_0	left_ant
120	2017-06-30	ERX2079459	14	6	air metagenome	ERR2020212	ERS1803320	SAMEA104144302	52	655179	air metagenome	air sample from pig farm_5_0__	air sample from pig farm	5	air	5_air	NA
121	2017-06-30	ERX2079460	6	3	human metagenome	ERR2020213	ERS1803321	SAMEA104144303	520	646099	human metagenome	ne_65_0_left_post	nasal swab from individual without contact to farm animals left nare posterior	65	ne	65_0	left_post
122	2017-06-30	ERX2079461	11	5	pig metagenome	ERR2020214	ERS1803322	SAMEA104144304	527	1176744	pig metagenome	pig_23_1__	nasal swab from pig	23	pig	23_1	NA
123	2017-06-30	ERX2079462	19	8	pig metagenome	ERR2020215	ERS1803323	SAMEA104144305	528	1176744	pig metagenome	pig_23_2__	nasal swab from pig	23	pig	23_2	NA
124	2017-06-30	ERX2079463	3	1	air metagenome	ERR2020216	ERS1803324	SAMEA104144306	529	655179	air metagenome	air sample from pig farm_23_0__	air sample from pig farm	23	air	23_air	NA
